SourceFile,Label,Probability
98341.mp3,Air brake,0.0651
9334.mp3,Air brake,0.0647
183039.mp3,Air brake,0.0646
173228.mp3,Air brake,0.0644
26041.mp3,Air brake,0.0638
206826.mp3,Air brake,0.0637
141987.mp3,Air brake,0.0635
186408.mp3,Air brake,0.0629
190200.mp3,Air brake,0.0626
232758.mp3,Air brake,0.0625
195534.mp3,Air brake,0.0624
35092.mp3,Air brake,0.062
174348.mp3,Air brake,0.0614
271931.mp3,Air brake,0.06
98950.mp3,Air brake,0.0592
194205.mp3,Air brake,0.0586
74420.mp3,Air brake,0.0584
99472.mp3,Air brake,0.0583
14257.mp3,Air brake,0.0561
103963.mp3,Air brake,0.0552
313279.mp3,Air brake,0.055
285795.mp3,Air brake,0.055
141873.mp3,Air brake,0.0548
229870.mp3,Air brake,0.054
44584.mp3,Air brake,0.0533
301333.mp3,Air brake,0.0531
330295.mp3,Air brake,0.0528
201856.mp3,Air brake,0.0528
171984.mp3,Air brake,0.0526
317493.mp3,Air brake,0.0523
186778.mp3,Air brake,0.0519
316595.mp3,Air brake,0.0515
4823.mp3,Air brake,0.0509
255424.mp3,Air brake,0.0508
39867.mp3,Air brake,0.0497
272842.mp3,Air brake,0.0484
289580.mp3,Air brake,0.0474
210512.mp3,Air brake,0.0474
143371.mp3,Air brake,0.0467
196524.mp3,Air brake,0.0463
272419.mp3,Air brake,0.0449
324150.mp3,Air brake,0.0439
251628.mp3,Air brake,0.0435
30422.mp3,Air brake,0.0433
115503.mp3,Air brake,0.0431
295691.mp3,Air brake,0.0419
124385.mp3,Air brake,0.0419
195509.mp3,Air brake,0.0417
161843.mp3,Air brake,0.0396
293810.mp3,Air brake,0.0392
177977.mp3,Air brake,0.0384
315081.mp3,Air brake,0.0382
301389.mp3,Air brake,0.0377
332506.mp3,Air brake,0.0376
204428.mp3,Air brake,0.0373
244163.mp3,Air brake,0.036
138292.mp3,Air brake,0.0359
221563.mp3,Air brake,0.0358
27154.mp3,Air brake,0.0357
34305.mp3,Air brake,0.0356
311250.mp3,Air brake,0.0355
236844.mp3,Air brake,0.035
94844.mp3,Air brake,0.0346
275483.mp3,Air brake,0.0315
159165.mp3,Air brake,0.0309
332786.mp3,Air brake,0.0255
157610.mp3,Air brake,0.0243
151146.mp3,Air brake,0.0221
323421.mp3,Air conditioning,0.4208
269484.mp3,Air conditioning,0.4103
164253.mp3,Air conditioning,0.3572
201795.mp3,Air conditioning,0.3306
29038.mp3,Air conditioning,0.3246
314573.mp3,Air conditioning,0.2888
76822.mp3,Air conditioning,0.2774
185852.mp3,Air conditioning,0.2362
87764.mp3,Air conditioning,0.2358
114098.mp3,Air conditioning,0.2112
129906.mp3,Air conditioning,0.2023
179013.mp3,Air conditioning,0.1871
332000.mp3,Air conditioning,0.1788
105970.mp3,Air conditioning,0.1736
178999.mp3,Air conditioning,0.17
125531.mp3,Air conditioning,0.1627
156483.mp3,Air conditioning,0.156
313054.mp3,Air conditioning,0.1508
196806.mp3,Air conditioning,0.149
112510.mp3,Air conditioning,0.1434
18641.mp3,Air conditioning,0.1405
252132.mp3,Air conditioning,0.1342
80141.mp3,Air conditioning,0.1315
29045.mp3,Air conditioning,0.1284
68670.mp3,Air conditioning,0.1269
314593.mp3,Air conditioning,0.126
54529.mp3,Air conditioning,0.1258
289279.mp3,Air conditioning,0.1233
101029.mp3,Air conditioning,0.1221
253547.mp3,Air conditioning,0.1198
289784.mp3,Air conditioning,0.1176
101028.mp3,Air conditioning,0.1165
71148.mp3,Air conditioning,0.1124
289270.mp3,Air conditioning,0.1111
281226.mp3,Air conditioning,0.1104
334162.mp3,Air conditioning,0.1102
56129.mp3,Air conditioning,0.1086
78579.mp3,Air conditioning,0.1083
201577.mp3,Air conditioning,0.1056
256963.mp3,Air conditioning,0.1036
67124.mp3,Air conditioning,0.1024
236199.mp3,Air conditioning,0.1015
314577.mp3,Air conditioning,0.0998
205378.mp3,Air conditioning,0.0998
259235.mp3,Air conditioning,0.0994
191483.mp3,Air conditioning,0.0983
290318.mp3,Air conditioning,0.0969
28468.mp3,Air conditioning,0.0947
289272.mp3,Air conditioning,0.0941
58978.mp3,Air conditioning,0.0933
276813.mp3,Air conditioning,0.0928
272768.mp3,Air conditioning,0.0918
236172.mp3,Air conditioning,0.0899
200320.mp3,Air conditioning,0.0897
102074.mp3,Air conditioning,0.0869
80295.mp3,Air conditioning,0.0858
22600.mp3,Air conditioning,0.0858
152673.mp3,Air conditioning,0.0843
112511.mp3,Air conditioning,0.0838
272540.mp3,Air conditioning,0.0838
